i need to book a table at a food court in nh that serves smelt	O O O O O O O O B-restaurant_type I-restaurant_type O B-state O O B-served_dish
book a table at the vortex bar & grill on alaska day in the state of rhode island	O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange O O O O B-state I-state
find me a table for four somewhere	O O O O O B-party_size_number O
i d like to eat at an oyster bar with a pool	O O O O O O O B-restaurant_type I-restaurant_type O O B-facility
please book a restaurant in village green ca	O O O B-restaurant_type O B-city I-city B-state
can i get a restaurant reserved in luquillo district of columbia	O O O O B-restaurant_type O O B-city B-state I-state I-state
i need a fast food restaurant that will seat two in a smoking room	O O O B-restaurant_type I-restaurant_type I-restaurant_type O O O B-party_size_number O O B-facility I-facility
i need a reservation for maid-rite sandwich shop in home gardens	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city I-city
please book a table for four at a restaurant in tn	O O O O O B-party_size_number O O B-restaurant_type O B-state
book a table for 8 in china 16 hours ten minutes and one second from now	O O O O B-party_size_number O B-country B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange
book a spot at an indoor gastropub in ny	O O O O O B-facility B-restaurant_type O B-state
i d like to book a restaurant that serves pôchouse in rocksprings	O O O O O O B-restaurant_type O O B-served_dish O B-city
book me a table for 4 in a restaurant in united kingdom	O O O O O B-party_size_number O O B-restaurant_type O B-country I-country
book the great house at sonning distant from gun hill rd	O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name B-spatial_relation O B-poi I-poi I-poi
call for a table of 3 at the tavern on the green in south farmingdale	O O O O O B-party_size_number O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-city I-city
i want to be main deli steak house near hendley	O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name B-spatial_relation B-city
book a table for 2 at the seward community cafe within the same area in shabbona	O O O O B-party_size_number O O B-restaurant_name I-restaurant_name I-restaurant_name B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-city
i need reservations for a party of 8 within the same area at 01:48:35 at a restaurant in armenia that serves tuscan cuisine	O O O O O O O B-party_size_number B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-timeRange O O B-restaurant_type O B-country O O B-cuisine O
please book a restaurant for ten members near downtown at 20:38	O O O B-restaurant_type O B-party_size_number O B-spatial_relation B-poi O B-timeRange
i want to book a restaurant now in ludlow for eight	O O O O O B-restaurant_type B-timeRange O B-city O B-party_size_number
book a spot distant from the neighborhood on the week-end	O O O B-spatial_relation O O B-poi O O B-timeRange
book a cafeteria for 5 in turkmenistan	O O B-restaurant_type O B-party_size_number O B-country
book a spot for one at a food court in riddlesburg	O O O O B-party_size_number O O B-restaurant_type I-restaurant_type O B-city
i need a table for one	O O O O O B-party_size_number
book a spot for ten tomorrow at a popular vegan restaurant that is close to alabama	O O O O B-party_size_number B-timeRange O O B-sort B-cuisine B-restaurant_type O O B-spatial_relation O B-state
i need a reservation for five at a top-rated english restaurant in elma	O O O O O B-party_size_number O O B-sort B-cuisine B-restaurant_type O B-city
book a pub for pepperoni near their house and not far	O O B-restaurant_type O B-served_dish B-spatial_relation B-poi I-poi O B-spatial_relation I-spatial_relation
book any popular puglia serving oyster bar for 10 in jemez springs	O O B-sort B-cuisine O B-restaurant_type I-restaurant_type O B-party_size_number O B-city I-city
book a gratin serving tea house in bushkill	O O B-served_dish O B-restaurant_type I-restaurant_type O B-city
book for 8 am in massachusetts for 1	O O B-timeRange I-timeRange O B-state O B-party_size_number
book a table at serendipity 3 in veyo for now	O O O O B-restaurant_name I-restaurant_name O B-city O B-timeRange
i need to book a table for five at the crooked house of windsor	O O O O O O O B-party_size_number O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name
reserve a table for 7 at a cafeteria in lafe city	O O O O B-party_size_number O O B-restaurant_type O B-city I-city
i need to book a table at a fast food spot that serves slinger in pr	O O O O O O O O B-restaurant_type I-restaurant_type O O O B-served_dish O B-state
i need to get seats for me and my ex wife to eat in egypt	O O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-country
book a spot for 2 at a restaurant in pw	O O O O B-party_size_number O O B-restaurant_type O B-state
book a restaurant for 4 of us	O O B-restaurant_type O B-party_size_number O O
make dinner reservation for 3 people on june 23rd 2040 in blodgett	O O O O B-party_size_number O O B-timeRange I-timeRange I-timeRange O B-city
i need a place that serves smelt for a party of 4 preferably a taverna	O O O O O O B-served_dish O O O O B-party_size_number O O B-restaurant_type
book reservation for 2 people tomorrow in whitewater	O O O B-party_size_number O B-timeRange O B-city
book a pub in santa claus new jersey for the first day of sukkot	O O B-restaurant_type O B-city I-city B-state I-state O O B-timeRange I-timeRange I-timeRange I-timeRange
i would like to book at a pub on mar 8 2020 that is close to broadway-lafayette st for my daughters and i	O O O O O O O B-restaurant_type O B-timeRange I-timeRange I-timeRange O O B-spatial_relation O B-poi I-poi O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book four people at a madagascar bar	O B-party_size_number O O O B-country B-restaurant_type
book a spot for nine at the cubby bear in luxor	O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name O B-city
i need a reservation for a restaurant in bangladesh on feb the 11th 2032	O O O O O O B-restaurant_type O B-country O B-timeRange I-timeRange I-timeRange I-timeRange
book an indonesian brasserie for seven people the day after tomorrow in hawaii	O O B-cuisine B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange O B-state
i need reservations for next autumn in belgium at a highly rated diner	O O O O B-timeRange I-timeRange O B-country O O B-sort I-sort B-restaurant_type
book a table for seven in walpole	O O O O B-party_size_number O B-city
reserve me a resturant for 5 at seventeen o clock	O O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange
i want to book a restaurant for nine with wifi	O O O O O B-restaurant_type O B-party_size_number O B-facility
book a tea house for 6 members with soul food	O O B-restaurant_type I-restaurant_type O B-party_size_number O O B-cuisine I-cuisine
i want to book a restaurant close-by my teenager s airbnb at 00:55 am	O O O O O B-restaurant_type B-spatial_relation B-poi I-poi I-poi I-poi O B-timeRange I-timeRange
i d like to eat at a bar that serves corn relish with a party of five	O O O O O O O B-restaurant_type O O B-served_dish I-served_dish O O O O B-party_size_number
book a table for me and georgina at a pub in a spa	O O O O B-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O O B-facility
please book a restaurant for six members on jul 13 2036	O O O B-restaurant_type O B-party_size_number O O B-timeRange I-timeRange I-timeRange
please book me a table for next week at a top-rated restaurant	O O O O O O B-timeRange I-timeRange O O B-sort B-restaurant_type
i d like a table for six in nine weeks at a restaurant in tokelau	O O O O O O B-party_size_number B-timeRange I-timeRange I-timeRange O O B-restaurant_type O B-country
i want to book a highly rated pizzeria in the same area as tia s house	O O O O O B-sort I-sort B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi
i want to take four friends to the pub for some tuna casserole	O O O O B-party_size_number O O O B-restaurant_type O O B-served_dish I-served_dish
me and aisha and craving cordon bleu and need to book a table at a brasserie	B-party_size_description I-party_size_description I-party_size_description O O B-served_dish I-served_dish O O O O O O O O B-restaurant_type
book a restaurant for 1 in nine weeks	O O B-restaurant_type O B-party_size_number B-timeRange I-timeRange I-timeRange
restaurant in zambia that is close for a party of 10	B-restaurant_type O B-country O O B-spatial_relation O O O O B-party_size_number
book a reservation not far from 8th st	O O O B-spatial_relation I-spatial_relation O B-poi I-poi
book a best tavern for nine	O O B-sort B-restaurant_type O B-party_size_number
book a table at any restaurant for eight people	O O O O O B-restaurant_type O B-party_size_number O
i d like a table at a restaurant in ks in 5 hours from now	O O O O O O O B-restaurant_type O B-state O B-timeRange I-timeRange I-timeRange I-timeRange
book an outdoor restaurant	O O B-facility B-restaurant_type
i want to book an osteria for 9 in gabon that serves donuts	O O O O O B-restaurant_type O B-party_size_number O B-country O O B-served_dish
book a restaurant in nebraska on january 25 2034 for me and my mommy	O O B-restaurant_type O B-state O B-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
