i want to fly from baltimore to dallas round trip	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip
i'd like to find a flight from charlotte to las vegas and make a stop in st. louis	O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-stoploc.city_name I-stoploc.city_name
flights from ontario to orlando	O O B-fromloc.city_name O B-toloc.city_name
list united flights from denver to san francisco on wednesdays	O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
show me round trip fares from baltimore to philadelphia	O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
how much would car rental cost in atlanta	O O O B-transport_type I-transport_type O O B-city_name
list daily flights from boston to oakland using twa	O B-flight_days O O B-fromloc.city_name O B-toloc.city_name O B-airline_code
what is the smallest aircraft available flying from pittsburgh to baltimore arriving on may seventh	O O O B-mod O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_date.month_name B-arrive_date.day_number
i need to fly from atlanta to charlotte north carolina next monday	O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name B-depart_date.date_relative B-depart_date.day_name
what are flights between boston and pittsburgh on august tenth	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
what are the flights from denver to oakland	O O O O O B-fromloc.city_name O B-toloc.city_name
round trip fares from baltimore to philadelphia under 1000 dollars	B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative B-fare_amount I-fare_amount
flights from boston to pittsburgh	O O B-fromloc.city_name O B-toloc.city_name
i'd like to leave from boston on tuesday and i'd like to leave sometime in the morning	O O O O O B-fromloc.city_name O B-depart_date.day_name O O O O O O O O B-depart_time.period_of_day
please list the shortest one stop flight from ontario california to orlando florida	O O O B-flight_mod B-flight_stop I-flight_stop O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name
give me a list of airports in baltimore	O O O O O O O B-city_name
show me the flights from oakland to washington	O O O O O B-fromloc.city_name O B-toloc.city_name
show me all the cheapest fares from new york to miami leaving on tuesday	O O O O B-cost_relative O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name
please list all flights between boston and atlanta	O O O O O B-fromloc.city_name O B-toloc.city_name
what are connecting flights from chicago to seattle on june first	O O B-connect O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
flying from pittsburgh to atlanta on september fourth what would be the cheapest flight	O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O O O O B-cost_relative O
show me continental flights from chicago to seattle on saturday morning	O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
show me the flights from boston to pittsburgh on wednesday or thursday	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-or B-depart_date.day_name
i would like a flight between denver and san francisco leaving from denver in the afternoon and arriving at 5 pm	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-fromloc.city_name O O B-depart_time.period_of_day O O O B-arrive_time.time I-arrive_time.time
i'd like to fly late tomorrow from minneapolis to long beach	O O O O B-depart_time.period_mod B-depart_date.today_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
train to newark	B-transport_type O B-city_name
dallas to oakland saturday	B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name
does american airlines fly from philadelphia to san francisco	O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what is your cheapest flight from pittsburgh to denver	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name
what is the earliest flight from boston to san francisco that serves a meal	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-meal
show me flights from denver to philadelphia on a monday	O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name
what flights are available from boston to atlanta on july seventh 8 am	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number B-depart_time.time I-depart_time.time
show me times for coach flights between boston and baltimore on wednesday	O O B-flight_time O B-class_type O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
show me flights from denver to san francisco on wednesday	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
could you tell me the flights leaving pittsburgh around midnight for oakland	O O O O O O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.period_of_day O B-toloc.city_name
us 201	B-airline_code B-flight_number
what flights do you have leaving boston going to san francisco	O O O O O O B-fromloc.city_name O O B-toloc.city_name I-toloc.city_name
how many first class flights are provided by american airlines	O O B-class_type I-class_type O O O O B-airline_name I-airline_name
list all the takeoffs and landings at general mitchell airport	O O O O O O O B-airport_name I-airport_name I-airport_name
show me flights from denver to philadelphia	O O O O B-fromloc.city_name O B-toloc.city_name
i have two friends that would like to visit me on wednesday here in washington dc one of them lives in denver and the other lives in miami	O O O O O O O O O O O B-depart_date.day_name O O B-toloc.city_name B-toloc.state_code O O O O O B-fromloc.city_name O O O O O B-fromloc.city_name
what is the fare code y and what is the fare code h	O O O O O B-fare_basis_code O O O O O O B-fare_basis_code
find travel arrangements for a round trip flight from baltimore to pittsburgh	O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
which airlines fly between boston and baltimore	O O O O B-fromloc.city_name O B-toloc.city_name
i want a one way ticket from dallas to baltimore	O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
what ground transportation is available in charlotte	O O O O O O B-city_name
show me flights from san francisco to minneapolis	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
what is the first flight after 12 noon from washington for denver	O O O B-flight_mod O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name
what time does twa depart from boston to go to san francisco	O B-flight_time O B-airline_code O O B-fromloc.city_name O O O B-toloc.city_name I-toloc.city_name
give me the flights with the fares from indianapolis to orlando on december twenty seventh	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
may i have a listing of flights from milwaukee to tacoma washington departing in the evening	O O O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name O O O B-depart_time.period_of_day
what flights are available from dallas to atlanta with one way economy fares	O O O O O B-fromloc.city_name O B-toloc.city_name O B-round_trip I-round_trip B-economy O
i want a flight that leaves from charlotte to newark that leaves in the afternoon or evening	O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-depart_time.period_of_day B-or B-depart_time.period_of_day
round trip fares new york to san jose	B-round_trip I-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what's the lowest round trip fare from denver to atlanta	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
do any of the continental flights from boston to san francisco stop in denver	O O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name
which airlines serve atlanta	O O O B-city_name
what flights are available friday afternoon from atlanta to dallas	O O O O B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name
what flights go from philadelphia to san francisco via dallas	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-stoploc.city_name
thank you i also need to travel next wednesday evening from dallas to san francisco	O O O O O O O B-depart_date.date_relative B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what is the ground transportation from boston airport to boston downtown	O O O O O O B-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name O
do you have a twa flight leaving early in the morning to san francisco from denver	O O O O B-airline_code O O B-depart_time.period_mod O O B-depart_time.period_of_day O B-toloc.city_name I-toloc.city_name O B-fromloc.city_name
flights from new york to miami	O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
what is the name of the airport at denver	O O O O O O O O B-city_name
i want to find a flight from boston to atlanta	O O O O O O O B-fromloc.city_name O B-toloc.city_name
yes i need a flight from denver to pittsburgh on july seventh	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
what are the flights from orlando to cleveland on us air that arrive around 10 pm	O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
what flights are there from pittsburgh to san francisco on friday	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
in economy class from dallas to baltimore arriving july seventh i'd like to know what's the cheapest ticket possible	O B-economy I-economy O B-fromloc.city_name O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number O O O O O O B-cost_relative O O
can i rent a car in san jose too	O O O O B-transport_type O B-city_name I-city_name O
give me a flight from newark to tampa on friday	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
i am looking for the cheapest fare from indianapolis to orlando on december twenty seventh	O O O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
list all flights please from washington to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
cheapest fare from indianapolis to seattle	B-cost_relative O O B-fromloc.city_name O B-toloc.city_name
what is the earliest flight from tampa to milwaukee tomorrow	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name B-depart_date.today_relative
i want to fly from baltimore to philadelphia	O O O O O B-fromloc.city_name O B-toloc.city_name
show me flights from milwaukee to orlando on thursday morning	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
i need to go from boston to denver and then to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name I-toloc.city_name
please give me a flight from pittsburgh to san francisco monday	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.day_name
